,0,names
0,0.0,Best of
1,-0.012963548253322982,WRank
2,-0.02079394442046499,LRank
3,-0.011305549065028543,winner_hand
4,0.018367782472138456,winner_ht
5,-0.064035662667711,winner_age
6,-0.0027750196059223063,loser_hand
7,-0.010276975665421658,loser_ht
8,0.0633433878283078,loser_age
9,0.00013546026135370702,SOT
10,-0.009088148752490675,Major
11,-0.7026015262056085,oddsw
12,0.76169221388149,oddsl
13,8.955494977818239e-05,Clay
14,0.0,Hard
15,-0.00338310595438536,Grass
16,0.009774051159736664,Carpet
17,0.2593535588306725,Wcomb
18,-0.25935355883066374,Lcomb
19,-0.005881059780273882,RTrendW
20,-0.016499605403054073,RTrendL
21,-0.04542871532310553,WInverseRank
22,0.07763548873066393,LInverseRank
23,-0.11677404406668723,CWPW
24,0.10066680460780701,CWPL
25,0.07333159264671628,POSW
26,-0.0602470897638234,POSL
27,0.012445655572109448,PINW
28,-0.00789755975880564,PINL
29,-0.03123280703909185,GPW
30,0.0,DSWW
31,0.006763606436685074,DSLW
32,-0.029825202474506245,CSWW
33,0.02580923134936566,CSLW
34,-0.006661771304635965,TieWW
35,-0.03868706950555555,TieLW
36,0.003966763420561147,FSIW
37,-0.03182518288486204,FSWW
38,-0.05900562614809128,BPFGW
39,0.03044057456656744,BPWGW
40,-0.020766372572439837,BPFCW
41,-0.02728218612502175,BPWCW
42,-0.03888642911807535,DSWL
43,0.02339622562943623,DSLL
44,0.022512364076009816,CSWL
45,-0.0034066952934986624,CSLL
46,0.0,TieWL
47,-0.010696301595596869,TieLL
48,-0.034848713326956555,APSGL
49,0.008155077841478618,FSIL
50,0.002890633691498976,FSWL
51,0.05409719129108028,BPFGL
52,0.02269180234162685,BPWGL
53,-0.054220935354952524,BPFCL
54,0.019149137407874963,BPWCL
55,0.046202734947408494,TSSW
56,-0.07283586678019455,TSSL
57,0.013226078553522352,GPL
