alpha,wealth
0.166,2104277.1541819726
0.167,2270132.660610055
0.168,2448716.505226355
0.169,2640977.871296212
0.17,2847934.5577937467
0.171,3070677.773822748
0.17200000000000001,3310377.2556943353
0.17300000000000001,3568286.72748239
0.17400000000000002,3845749.7271577767
0.17500000000000002,4144205.8217566404
0.17600000000000002,4465197.236473431
0.177,4810375.924084122
0.178,5181511.102710134
0.179,5580497.291627745
0.18,6009362.876622195
0.181,6470279.238277604
0.182,6965570.478599017
0.183,7497723.783474439
0.184,8069400.460722018
0.185,8683447.695824176
0.186,9342911.069943134
0.187,10051047.887442801
0.188,10811341.362912998
0.189,11627515.720628148
0.19,12503552.262453837
0.191,13443706.463480942
0.192,14452526.158097927
0.193,15534870.88284137
0.194,16695932.446176935
0.195,17941256.79939798
0.196,19276767.28706121
0.197,20708789.359855227
0.198,22244076.837499615
0.199,23889839.814229667
0.2,25653774.30464096
0.201,27544093.733159505
0.202,29569562.37618337
0.203,31739530.87201955
0.20400000000000001,34063973.920147754
0.20500000000000002,36553530.2980569
0.20600000000000002,39219545.33098172
0.20700000000000002,42074115.957307674
0.20800000000000002,45130138.54022197
0.20900000000000002,48401359.584397845
0.21,51902429.52514525
0.211,55648959.76650488
0.212,59657583.154290274
0.213,63946018.0800749
0.214,68533136.42260708
0.215,73439035.54413177
0.216,78685114.57068181
0.217,84294155.19745316
0.218,90290407.27315778
0.219,96699679.43049236
0.22,103549435.04388939
0.221,110868893.81029487
0.222,118689139.26408678
0.223,127043232.55328912
0.224,135966332.8210703
0.225,145495824.55410305
0.226,155671452.27783552
0.227,166535462.99796697
0.228,178132756.80768758
0.229,190511046.1012576
0.23,203721023.85668695
0.231,217816541.47331294
0.232,232854796.67423633
0.233,248896532.008789
0.234,266006244.5166057
0.23500000000000001,284252407.1423533
0.23600000000000002,303707702.51897925
0.23700000000000002,324449269.7673761
0.23800000000000002,346558964.99159825
0.23900000000000002,370123636.1816571
0.24000000000000002,395235413.2698327
0.241,421992014.1222408
0.242,450497067.28436077
0.243,480860452.3379768
0.244,513198658.7673758
0.245,547635164.2745333
0.246,584300833.5270095
0.247,623334338.3676441
0.248,664882600.5627401
0.249,709101258.2149092
0.25,756155157.0179816
0.251,806218867.5851961
0.252,859477230.1370542
0.253,916125927.8936621
0.254,976372090.5762327
0.255,1040434929.4847442
0.256,1108546405.6842012
0.257,1180951932.89907
0.258,1257911116.7854948
0.259,1339698532.3238742
0.26,1426604541.1496503
0.261,1518936150.7185934
0.262,1617017917.2840195
0.263,1721192894.7476556
0.264,1831823631.5331674
0.265,1949293217.7219002
0.266,2074006384.784035
0.267,2206390660.335511
0.268,2346897580.4517374
0.269,2496003962.1726294
0.27,2654213238.942268
0.271,2822056861.8364496
0.272,3000095769.547918
0.273,3188921930.216967
0.274,3389159958.3193088
0.275,3601468809.949344
0.276,3826543559.968489
0.277,4065117264.624336
0.278,4317962913.385138
0.279,4585895473.8801775
0.28,4869774033.983748
0.281,5170504045.234808
0.28200000000000003,5489039671.943243
0.28300000000000003,5826386250.494901
0.28400000000000003,6183602863.537773
0.28500000000000003,6561805033.901673
0.28600000000000003,6962167543.285243
0.28700000000000003,7385927380.923674
0.28800000000000003,7834386827.64157
0.28900000000000003,8308916680.885785
0.29,8810959626.53647
0.291,9342033763.493717
0.292,9903736287.249975
0.293,10497747338.87372
0.294,11125834026.050098
0.295,11789854623.048038
0.296,12491762956.722923
0.297,13233612985.891562
0.298,14017563581.669468
0.299,14845883516.602894
0.3,15720956670.687965
0.301,16645287462.625494
0.302,17621506514.933525
0.303,18652376561.80347
0.304,19740798608.874004
0.305,20889818354.37084
0.306,22102632881.359467
0.307,23382597631.147614
0.308,24733233668.177315
0.309,26158235247.051876
0.31,27661477692.660892
0.311,29247025604.674717
0.312,30919141398.0085
0.313,32682294191.18618
0.314,34541169054.86394
0.315,36500676633.107574
0.316,38565963150.37162
0.317,40742420817.46254
0.318,43035698650.13331
0.319,45451713714.29549
0.32,47996662812.21809
0.321,50677034624.417656
0.322,53499622322.3367
0.323,56471536667.25977
0.324,59600219611.299706
0.325,62893458416.652435
